,index,name,Day_Night,address,addressLocality,MapsLink,telephone
0,0,Turki Majed,Pharmacie de jours, 129 BD 20 mars ,Tunis Le Bardo,"http://maps.google.com/?q=36.8079199,10.1393102",[' (+216) 71 515 830']
1,1,Imen Gherab,Pharmacie de jours," Centre Commercial ARIANA CENTER N°br19 - Avenue Taieb Mhiri, Ariana",Ariana Ariana Ville,"http://maps.google.com/?q=36.8665367,10.164723299999991",[' (+216) 71 948 509']
2,2,Soussi Sami,Pharmacie de nuit," 34 Rue Mongi Slim,Immeuble Al Ons, Rades, 2040",Ben Arous Radès,"http://maps.google.com/?q=36.7553124,10.3175581",
3,3,Jebali Mouadh,Pharmacie de jours, mouadh,Ariana Ariana Ville,"http://maps.google.com/?q=36.8665367,10.164723299999991","[' (+216) 21 624', ' (+216) 24 281 402']"
4,4,Khayati Najeh,Pharmacie de nuit,  Avenue Farhat Hached 2200,Tozeur Tozeur,"http://maps.google.com/?q=33.9212596,8.1151458",[' (+216) 76 453 066']
5,5,Rachida Ben Youssef,Pharmacie de jours, Avenue Bechir Sfar,Mahdia Mahdia,"http://maps.google.com/?q=35.5051932,11.0550471","[' (+216) 71 660 888', ' (+216) 74 251 037']"
6,6,Dhouib Ep. Masmoudi Sana,Pharmacie de jours, route Bizerte km 7,Ariana Mnihla,"http://maps.google.com/?q=36.8651098128911,10.117200974691059",[' 70564555']
7,7,Kods Zouaoui Jamaa,Pharmacie de jours, av.Farhat Hached - en face de l'hopital de Midoun Djerba,Ariana Ariana Ville,"http://maps.google.com/?q=36.8665367,10.164723299999991",[' 75730326']
8,8,Abdelkader Chaouch,Pharmacie de jours, 79 Avenue Hédi Chaker Le belvédère,Tunis Bab El Bhar,"http://maps.google.com/?q=36.8165446592025,10.180743030549593",[' 71289806']
9,9,Kechrid Mohamed Mounir,Pharmacie de jours, 27 rue al jazira,Tunis Bab El Bhar,"http://maps.google.com/?q=36.8064948,10.181531599999971",[' +21671327609']
10,10,Elloumi Nabila,Pharmacie de jours, 7 bis rue wad mellag megrine erriadh,Ben Arous Mégrine,"http://maps.google.com/?q=36.7754903,10.23197570000002",[' 24500361']
11,11,Lazhar Mohamed ,Pharmacie de nuit,  rue ali belhaouane- bir lahmar- tataouine,Tataouine ,"http://maps.google.com/?q= rue ali belhaouane- bir lahmar- tataouine, Tunisie, Tataouine",['  23 54 40 08  ']
12,12,Ben Khadra Fatma Ep Abbes ,Pharmacie de jours,  AVENUE 27 OCTOBRE FACE GARDE FRONTIERE,Gabès ,"http://maps.google.com/?q= AVENUE 27 OCTOBRE FACE GARDE FRONTIERE, Tunisie, Gabès",
13,13,Kchaou Mouna ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA AGAREB SFAX,Sfax ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA AGAREB SFAX, Tunisie, Sfax",['  74 27 12 77  ']
14,14,El Labiadh Samia ,Pharmacie de jours,  AVENUE DE L'ENVIRONNEMENT - GHENADA,Monastir ,"http://maps.google.com/?q= AVENUE DE L'ENVIRONNEMENT - GHENADA, Tunisie, Monastir",
15,15,Fennira Taoufik ,Pharmacie de jours,  121 Avenue Jugurta Mutuelle-ville,Tunis ,"http://maps.google.com/?q= 121 Avenue Jugurta Mutuelle-ville, Tunisie, Tunis",['  71 89 16 04  ']
16,16,Othmen Mohamed ,Pharmacie de jours,  EL MIDA,Nabeul ,"http://maps.google.com/?q= EL MIDA, Tunisie, Nabeul",
17,17,Dhouibi Boutheina ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Tozeur ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Tozeur",['  76 45 74 65  ']
18,18,Mejdoub Leila Ep Fendri ,Pharmacie de jours,  ROUTE MENZEL CHAKER KM 5 SFAX,Sfax ,"http://maps.google.com/?q= ROUTE MENZEL CHAKER KM 5 SFAX, Tunisie, Sfax",['  74 26 53 49  ']
19,19,Ben Slima Mounira Ep Ghorbel ,Pharmacie de jours,  ROUTE DE GREMDA KM 5.5,Sfax ,"http://maps.google.com/?q= ROUTE DE GREMDA KM 5.5, Tunisie, Sfax",
20,0,Frikha Najmeddine ,Pharmacie de jours,  AVENUE DES MARTYRS BAB JEBLI SFAX,Sfax ,"http://maps.google.com/?q= AVENUE DES MARTYRS BAB JEBLI SFAX, Tunisie, Sfax",['  74 22 98 00  ']
21,1,Abcha Leila ,Pharmacie de jours,  RUE 2 MAI A COTE DE LA DIRECTION REGIONALE DE LA C,Médenine ,"http://maps.google.com/?q= RUE 2 MAI A COTE DE LA DIRECTION REGIONALE DE LA C, Tunisie, Médenine",['  75 70 04 04  ']
22,2,M'rad Mariem ,Pharmacie de jours,  HAY ENNOUR,Gafsa ,"http://maps.google.com/?q= HAY ENNOUR, Tunisie, Gafsa",['  76 22 27 39  ']
23,3,Rhouma Anouar ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA CHENINI,Gabès ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA CHENINI, Tunisie, Gabès",['  75 27 43 11  ']
24,4,Ourir Fethi ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Siliana ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Siliana",['  78 89 20 22  ']
25,5,Ktata Chafik ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA AOUSJA GHAR EL MELH,Bizerte ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA AOUSJA GHAR EL MELH, Tunisie, Bizerte",
26,6,Ben Rezig H'midi ,Pharmacie de jours,  ROUHIA,Siliana ,"http://maps.google.com/?q= ROUHIA, Tunisie, Siliana",['  78 89 30 61  ']
27,7,Laatil Tamboura Insaf ,Pharmacie de jours,  Angle des Rues 42710 et 40850,Tunis ,"http://maps.google.com/?q= Angle des Rues 42710 et 40850, Tunisie, Tunis",
28,8,Akrmi Mondher ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA MEJEZ EL BAB,Béja ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA MEJEZ EL BAB, Tunisie, Béja",['  78 46 09 64  ']
29,9,Baccar Samir ,Pharmacie de jours,  AV. HABIB BOURGUIBA Carrefour ZAZZIS et ERRYADH HO,Médenine ,"http://maps.google.com/?q= AV. HABIB BOURGUIBA Carrefour ZAZZIS et ERRYADH HO, Tunisie, Médenine",['  75 65 13 61  ']
30,10,Ghedira Melili Leila ,Pharmacie de jours,  Rue du S?negal Cit? Riadh,Tunis ,"http://maps.google.com/?q= Rue du S?negal Cit? Riadh, Tunisie, Tunis",['  71 22 01 21  ']
